ID;name;area_max;vol_max;vol_open;vol_close;catch_size;catch_pop;paved;DS_tank;divert;treated;dchanw;dchanh;wetland;wetland_surface
1;Veerasagara;74016;12074;82;0;3170280;21465;0.81;2;n;0.98;3;0;n;0
2;Attur;282700;210296;36652;0;6930196;46922;0.75;3;n;0.98;3;0;n;0
3;Puttenahalli;114336;30517;132;0;3750456;25393;0.79;11;n;0.98;3;0;n;0
4;Gantiganahalli Lake;185121;85264;18673;0;21798470;147590;0.81;6;n;0.98;3;0;n;0
5;Vinayak;68630;10277;62;0;2182369;14776;0.83;12;n;0.98;3;0;n;0
6;Kattigenahalli lake;55736;6890;108;0;1270144;8600;0.79;12;n;0.98;3;0;n;0
7;Sapthagiri;19112;673;35;0;1034412;7004;0.81;8;y;0.98;3;2;n;0
8;BEL;51833;5648;29;0;584459;3957;0.71;15;y;0.98;3;2;n;0
9;Thirumenahalli;52768;5868;115;0;1309259;8865;0.84;14;n;0.98;3;0;n;0
10;Chokkanahalli;17080;530;33;0;322146;2181;0.72;14;n;0.98;3;0;n;0
11;Yelahanka kere;984102.16;3198341;3198341;0;19517224;132144;0.81;18;y;0.98;3;0;n;0
12;Kogilu kere;244683;161076;302;0;2720464;18419;0.83;18;n;0.98;3;0;n;0
13;Allasandra lake;148033;55213;139;0;3817125;25844;0.81;18;n;0.98;3;0;n;0
14;green garden;46392;4459;85;0;1212992;8213;0.72;18;n;0.98;3;0;n;0
15;Doddabomasandra lake;317566;280724;72165;0;7812369;52895;0.75;23;n;0.98;3;0;n;0
16;JP Park;298178;235610;47318;0;6989566;47324;0.9;23;n;0.98;3;0;n;0
17;Jakkur_ups;0;1;0;0;5941658;40229;0.71;20;y;0.98;3;0;n;0
18;Jakkur lake;522238;810146;810146;0;8388351;56794;0.71;21;n;0.98;3;0;y;28328
19;Sampigehalli;79998;14250;51;0;990526;6706;0.74;21;n;0.98;3;0;n;0
20;Amrutahalli lake;76397;13488;114;0;3242215;21952;0.84;21;n;0.98;3;0;n;0
21;Rachenahalli lake;370132;389057;85757;0;7855352;53186;0.72;26;y;0.98;3;0.7;n;0
22;Kacharakanahalli kere;51425;5804;83;0;3940704;26681;0.72;26;n;0.98;3;0;n;0
23;Hebbal lake;433481;544755;239803;0;17685919;119745;0.81;26;n;0.98;3;0;n;0
24;Horamavu lake;96573;22223;57;0;1710871;11584;0.74;28;n;0.98;3;0;n;0
25;Banaswadi;72422;11526;90;0;2502392;16943;0.73;29;n;0.98;3;2;n;0
26;Nagavara lake;270333;199194;35658;0;10074229;68209;0.81;34;y;0.98;4;1;n;0
27;Ambedkar;25445;1239;18;0;3431452;23233;0.81;34;y;0.98;3;2;n;0
28;Horamavu Agara lake;155566;61371;128;0;2647570;17926;0.73;34;n;0.98;3;0;n;0
29;Chelekere;62679;8470;72;0;3082797;20872;0.88;34;n;0.98;3;0;n;0
30;Hennur;129535;39821;162;0;4442841;30081;0.7;34;y;0.98;3;0;n;0
31;Gangadhar;109405;27778;125;0;2382043;16128;0.7;33;n;0.98;3;0;n;0
32;Basavanapura lake;45198;4408;41;0;835605;5658;0.9;36;n;0.98;3;0;n;0
33;KR Puram;189217;89337;89337;0;2312281;15656;0.81;36;n;0.98;6;0;n;0
34;Kalkere lake;501053;741728;741728;0;27840846;188500;0.88;35;y;0.98;15;1.5;n;0
35;Rampura lake;727131;1639927;1639927;0;12970900;87821;0.7;37;n;0.98;10;0;n;0
36;Seegehalli lake;86099;17401;120;0;3653793;24739;0.81;37;n;0.98;3;0;n;0
37;Yellamallappa SettraKere;1808724;11429574;8308449;0;45413901;307481;0.7;0;n;0.98;8;0;n;0
